COD_UF;COD_MUN;COD_DISTRITO;COD_SUBDISTR;SITUACAO;TIPO;TITULO;NOME;NUMERO_VAL;NUMERO_MOD;LONGITUDE;LATITUDE;LOCALIDADE;ESPECIE;CEP
31;30101;5;0;2;RUA;;ASA BRANCA;0;SN     ;44 21 37.3560 W;20 03 5.5440 S;CONDOMINIO SERRA VERDE;1;32900000
31;30101;5;0;2;RUA;;ASA BRANCA;1000;;44 21 42.7740 W;20 03 4.2780 S;CONDOMINIO SERRA VERDE;1;32900000
31;30101;5;0;2;RUA;;ASA BRANCA;1050;;44 21 42.8820 W;20 03 4.0380 S;CONDOMINIO SERRA VERDE;7;32900000
31;30101;5;0;2;RUA;;CHACARA;9;;44 21 43.6620 W;20 02 41.4360 S;3 LAGOAS;1;32900000
31;30101;5;0;2;RUA;;CHACARA;11;;44 21 43.4880 W;20 02 41.8800 S;3 LAGOAS;1;32900000
31;30101;5;0;2;RUA;;CHACARA;9;;44 21 43.6620 W;20 02 41.4360 S;3 LAGOAS;3;32900000
31;30101;5;0;2;RUA;;CHACARA;10;;44 21 43.5780 W;20 02 41.1720 S;3 LAGOAS;3;32900000
31;30101;5;0;2;RUA;;CHACARA;11;;44 21 43.4880 W;20 02 41.8800 S;3 LAGOAS;3;32900000
31;30101;5;0;2;RUA;;CHACARA;10;;44 21 43.5780 W;20 02 41.1720 S;3 LAGOAS;1;32900000
31;30101;5;0;2;RUA;;CHACARA;0;SN     ;44 21 43.9380 W;20 02 40.6440 S;3 LAGOAS;1;32900000
31;30101;5;0;2;RUA;;CHACARA;0;SN     ;44 21 43.9380 W;20 02 40.6440 S;3 LAGOAS;3;32900000
31;30101;5;0;2;RUA;;MATUTINO;311;;44 20 23.0160 W;20 02 39.6780 S;SANTA ROSA;1;32900000
31;30101;5;0;2;RUA;;MATUTINO;0;SN     ;44 20 20.6760 W;20 02 40.1580 S;SANTA ROSA;1;32900000
31;30101;5;0;2;RUA;;ABAETE;49;;44 20 22.1880 W;20 02 35.8740 S;SANTA ROSA;1;32900000
31;30101;5;0;2;RUA;;ABAETE;0;SN     ;44 20 22.3500 W;20 02 36.0900 S;SANTA ROSA;1;32900000
31;30101;5;0;2;RUA;;PARA DE MINAS;186;;44 20 18.8160 W;20 02 35.1240 S;SANTA ROSA;1;32900000
31;30101;5;0;2;RUA;;PARA DE MINAS;177;;44 20 18.3660 W;20 02 35.3580 S;SANTA ROSA;1;32900000
31;30101;5;0;2;RUA;;MARTINHO CAMPOS;0;SN     ;44 20 20.1180 W;20 02 42.4140 S;SANTA ROSA;7;32900000
31;30101;5;0;2;RUA;;MARTINHO CAMPOS;281;;44 20 19.1040 W;20 02 42.1740 S;SANTA ROSA;1;32900000
31;30101;5;0;2;AVENIDA;;CANTA GALO;830;;44 20 20.7180 W;20 02 42.3420 S;SANTA ROSA;1;32900000
31;30101;5;0;2;AVENIDA;;CANTA GALO;974;;44 20 23.1180 W;20 02 35.0880 S;SANTA ROSA;1;32900000
31;30101;5;0;2;AVENIDA;;CANTA GALO;0;SN     ;44 20 16.6560 W;20 02 26.4420 S;SANTA ROSA;1;32900000
31;30101;5;0;2;AVENIDA;;CANTA GALO;0;SN     ;44 20 20.7420 W;20 02 40.0860 S;SANTA ROSA;1;32900000
31;30101;5;0;2;RUA;;CURRALINHO;0;SN     ;44 19 24.5640 W;20 00 10.2420 S;CURRALINHO;1;32900000
31;30101;5;0;2;RUA;;CURRALINHO;0;SN     ;44 19 23.0460 W;20 00 7.0680 S;CURRALINHO;6;32900000
31;30101;5;0;2;RUA;;MANUEL DA NOBREGA;390;;44 19 41.6460 W;20 02 52.1400 S;POUSADA;1;32900000
31;30101;5;0;2;RUA;;JOSE BONIFACIO;1000;;44 19 42.1680 W;20 02 34.5720 S;POUSADA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;41;;44 16 20.3760 W;20 05 2.3340 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;425;;44 16 20.2260 W;20 05 2.0580 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;460;;44 16 20.2080 W;20 05 1.8900 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;457;;44 16 20.0100 W;20 05 1.9080 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;472;;44 16 20.2320 W;20 05 2.1000 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;472;;44 16 20.2080 W;20 05 2.1480 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;490;;44 16 20.2920 W;20 05 1.9920 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 18 50.7300 W;20 00 31.9320 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 18 50.7960 W;20 00 32.1600 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 16 19.4040 W;20 05 2.1000 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 16 19.8420 W;20 05 2.0100 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 16 19.8720 W;20 05 1.9980 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 16 19.8960 W;20 05 2.0040 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 16 20.0940 W;20 05 1.9920 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 16 20.1000 W;20 05 2.1900 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 16 19.7160 W;20 05 1.9980 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 16 19.9860 W;20 05 2.2320 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 16 20.0640 W;20 05 2.3160 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 17 54.1080 W;20 03 30.8040 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 17 54.7140 W;20 03 30.0540 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;475;;44 17 54.6600 W;20 03 29.4840 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;475;;44 17 58.0800 W;20 03 33.9360 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;497;;44 17 57.1980 W;20 03 32.8680 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 17 54.5820 W;20 03 30.6360 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;511;;44 17 54.6120 W;20 03 30.7740 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 17 54.5220 W;20 03 30.8820 S;BARCELONA;1;32900000
31;30101;5;0;2;RUA;;BARCELONA;176;;44 16 20.0640 W;20 05 2.0520 S;BARCELONA;3;32900000
31;30101;5;0;2;RUA;;BARCELONA;460;;44 16 20.2080 W;20 05 1.8900 S;BARCELONA;3;32900000
31;30101;5;0;2;RUA;;BARCELONA;0;;44 16 20.0640 W;20 05 2.3160 S;BARCELONA;3;32900000
31;30101;5;0;2;RUA;;CURRALINHO;0;SN     ;44 19 11.2200 W;20 00 39.5580 S;CURRALINHO;1;32900000
31;30101;5;0;2;RUA;;CURRALINHO;0;SN     ;44 19 11.1720 W;20 00 39.1260 S;CURRALINHO;1;32900000
31;30101;5;0;2;RUA;;CURRALINHO;0;SN     ;44 19 15.6960 W;20 00 32.8500 S;CURRALINHO;1;32900000
31;30101;5;0;2;RUA;;CURRALINHO;0;SN     ;44 19 13.9260 W;20 00 22.7460 S;CURRALINHO;1;32900000
31;30101;5;0;2;RUA;;CURRALINHO;0;;44 17 54.5880 W;20 03 30.9660 S;CURRALINHO;1;32900000
31;30101;5;0;2;RUA;;CURRALINHO;0;;44 18 9.3000 W;20 00 5.1960 S;CURRALINHO;1;32900000
31;30101;5;0;2;RUA;;CURRALINHO;0;;44 16 20.1000 W;20 05 2.4360 S;CURRALINHO;7;32900000
31;30101;5;0;2;AVENIDA;;CHAO DE ESTRELAS;505;;44 21 34.3560 W;20 03 13.1340 S;CONDOMINIO SERRA VERDE;1;32900000
31;30101;5;0;2;AVENIDA;;CHAO DE ESTRELAS;489;;44 21 34.0680 W;20 03 13.3380 S;CONDOMINIO SERRA VERDE;1;32900000
31;30101;5;0;2;ESTRADA;;TERRA;0;SN     ;44 21 42.9060 W;20 03 2.2259 S;3 LAGOAS;7;32900000
31;30101;5;0;2;ESTRADA;;TERRA;170;;44 21 41.2260 W;20 03 2.6520 S;3 LAGOAS;1;32900000
31;30101;5;0;2;ESTRADA;;TERRA;0;SN     ;44 21 38.3820 W;20 03 3.0720 S;3 LAGOAS;1;32900000
31;30101;5;0;2;ESTRADA;;TERRA;20;;44 21 38.1900 W;20 03 3.1200 S;3 LAGOAS;1;32900000
31;30101;5;0;2;ESTRADA;;TERRA;134;;44 21 32.0520 W;20 03 4.0020 S;3 LAGOAS;1;32900000
31;30101;5;0;2;ESTRADA;;TERRA;86;;44 21 31.9260 W;20 03 3.2580 S;3 LAGOAS;1;32900000
31;30101;5;0;2;ESTRADA;;TERRA;71;;44 21 32.6280 W;20 03 2.6100 S;3 LAGOAS;1;32900000
31;30101;5;0;2;ESTRADA;;TERRA;0;SN     ;44 21 33.6720 W;20 03 2.4180 S;3 LAGOAS;1;32900000
31;30101;5;0;2;ESTRADA;;TERRA;240;;44 21 38.7000 W;20 02 59.5140 S;3 LAGOAS;1;32900000
31;30101;5;0;2;ESTRADA;;TERRA;200;;44 21 38.6280 W;20 02 59.5260 S;3 LAGOAS;1;32900000
31;30101;5;0;2;ESTRADA;;TERRA;102;;44 21 40.1100 W;20 02 58.6860 S;3 LAGOAS;1;32900000
